run_id,datetime,random_seed,model_phase1,model_phase2,temperature,prompt_variant,spec_status,sample_selection,outcome_definition,treatment_definition,model_type,model_specification_line,control_variables,fixed_effects,sample_weighting,se_adjustment,point_est,SE,sample_size,execution_status
run_20260201T021654Z_ec1380,2026-02-01T02:16:54Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2006 and 2016 | hispan == 1 | hispand in {100, 102, 103, 104, 105, 106, 107} | citizen in {0, 1} | statefip in {4, 6, 8, 35, 48} | age between 15 and 35 | labforce == 1 | empstat in {1, 2, 3} | workedyr == 1",full_time = uhrswork >= 35,dac_eligibility = (2013 <= year <= 2016) & (15 <= age <= 31) & (yrimmig <= year - 6),unknown,"model = sm.OLS.from_formula(formula, data=df)",,,,,0.0,0.0,116111,nonpositive_se
run_20260201T044721Z_330470,2026-02-01T04:47:21Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year >= 2013 and year <= 2016 | hispan == 1 | bpl == 200 | birthyr >= 1982 and birthyr <= 1994 | yrimmig >= 1990 and yrimmig <= 2016 | yrimmig >= birthyr | uhrswork >= 0 and uhrswork <= 99,uhrswork >= 35,yrimmig >= birthyr and yrimmig <= 2012 and (yrimmig - birthyr) <= 16,unknown,point_estimate = treated_rate - control_rate,,,,,,,,failed_validation
run_20260201T190714Z_9837e5,2026-02-01T19:07:14Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year.between(2013,2016) | hispand == 100 | bpl == 200 | 18 <= age <= 30 | citizen == 3",(empstat == 1) & (uhrswork >= 35),"(2012 - yrimmig).between(0,15) & yrimmig > 0",WLS,"result = sm.WLS(df[""full_time_employed""], sm.add_constant(df[[""treatment""]]), weights=df[""perwt""]).fit()",,,"df[""perwt""]",,0.0,0.0,51273,nonpositive_se
run_20260201T202825Z_0e3002,2026-02-01T20:28:25Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year between 2013 and 2016 | hispan == 1 (Hispanic) | bpl == 200 (Mexico) | citizen == 3 (noncitizen) | age between 18 and 34 | yrimmig between 1 and 2007 | uhrswork >= 35,(empstat == 1) & (uhrswork >= 35),birthyr between 1984 and 1996 AND (yrimmig - birthyr) between 0 and 15,WLS,"model = sm.WLS(df[""employed_fulltime""], sm.add_constant(df[[""daca_eligible"", ""age""]]), weights=df[""perwt""]).fit()",,,"df[""perwt""]",,,,,failed_validation
run_20260202T060902Z_6335c2,2026-02-02T06:09:02Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2006 and 2016 (inclusive) | hispan == 1 and hispand in {100, 102, 103, 104, 105, 106, 107} | bpl == 200 (Mexico) and labforce == 1 | age between 15 and 35 | birthyr between 1982 and 1997 | yrimmig <= 2007",full_time_employed = uhrswork >= 35,daca_eligible = year >= 2013,WLS,"model = LinearRegression().fit(X, y, sample_weight=weights)",,,weights,,0.0011464727773436154,0.002312098040570129,56599,success
run_20260202T075253Z_480566,2026-02-02T07:52:53Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year >= 2013 and year <= 2016 | labforce == 1 | hispand == 107 | bpl == 200 | age >= 16 and age <= 35 | birthyr > 0 | yrimmig > 0,uhrswork >= 35,arrival_age < 16 and yrimmig <= 2007 and age_2012 >= 16 and age_2012 <= 30,OLS,"model = sm.OLS(df[""outcome""], sm.add_constant(df[[""treatment""]]))",,,,,,,,failed_validation
run_20260202T202704Z_6ed4af,2026-02-02T20:27:04Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2013 and 2016 (inclusive) | perwt > 0 and statefip > 0 | bpl == 200 (Mexico birthplace) | hispan == 1 or hispand in {100, 102, 103, 104, 105, 106, 107} | citizen == 3 (noncitizen as of census) | birthyr between 1982 and 1996 and yrimmig between 1980 and 2012 | arrival_age = yrimmig - birthyr <= 15","((empstat == 1) & uhrswork.between(35, 99)).astype(float)","((birthyr.between(1982, 1996)) & ((yrimmig - birthyr) <= 15) & (yrimmig <= 2007)).astype(float)",WLS,"model = smf.wls(""full_time ~ daca_eligible + C(year) + C(statefip)"", data=df, weights=df[""perwt""])",,C(year) | C(statefip),"df[""perwt""]",,0.11143456213564915,0.02195077859516831,32416,success
run_20260202T223704Z_3b51ca,2026-02-02T22:37:04Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year in 2013-2016 | age between 18 and 34 inclusive | detailed Hispanic origin indicates Mexican descent (hispand 100-107) | birthplace code equals 200 (Mexico) | noncitizen at survey time (citizen == 3) | positive immigration year with valid birth records and 0 <= yrimmig - birthyr <= 15 | valid usual hours (< 98) among people who worked last week (wrklstwk in {1, 2})",(wrklstwk == 1) and (uhrswork >= 35),(yrimmig <= 2007) and ((yrimmig - birthyr) <= 15) and ((birthyr > 1981) or (birthyr == 1981 and birthqtr >= 3)),OLS,"model = sm.OLS(df[""full_time""], X).fit()",,,,,-0.002792688832236271,0.004920424039545497,31691,success
run_20260202T230638Z_25af53,2026-02-02T23:06:38Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year >= 2013 and year <= 2016 | bpl == 200 | hispand in {100,102,103,104,105,106,107} | birthyr between 1978 and 1998 | yrimmig between 1980 and 2007 | perwt > 0",(empstat == 1 and uhrswork >= 35),birthyr between 1982 and 1996 and (yrimmig - birthyr) <= 15,WLS,"results = sm.WLS(full_time.astype(float), sm.add_constant(design_matrix, has_constant=""add""), weights=df[""perwt""]).fit(cov_type=""HC3"")",,,"df[""perwt""]",HC3,-0.014058954834016764,0.0038891246625396953,99966,success
run_20260203T000347Z_dfc532,2026-02-03T00:03:47Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year>=2013 and year<=2016 | bpl==200 | hispand in {100,102,103,104,105,106,107} | citizen in {0,2,3,4,5,6,7} | birthyr>=1975 and birthyr<=1997 | yrimmig>=1 and yrimmig<=2007 | age>=18 and age<=34 | uhrswork>=0 and uhrswork<=80",(uhrswork>=35).astype(float),((birthyr>=1982) & (birthyr<=1997) & (yrimmig>=1) & (yrimmig<=2007) & ((yrimmig-birthyr)<16)).astype(float),OLS,"coef = np.linalg.lstsq(predictors.to_numpy(), df['full_time'].to_numpy(), rcond=None)[0]",,,,,-0.040876755216828625,0.003654190885241677,75305,success
run_20260203T014521Z_70e3d4,2026-02-03T01:45:21Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year between 2013 and 2016 | hispan == 1 and bpl == 200 | birthyr between 1981 and 1997 | yrimmig <= 2007 and yrimmig <= birthyr + 15 | citizen == 3,(empstat == 1) and (uhrswork >= 35),birthyr between 1981 and 1997 and yrimmig <= 2007 and yrimmig <= birthyr + 15 and citizen == 3,WLS,"model = sm.WLS(y, sm.add_constant(df[[""treatment"", ""year""]]), weights=df[""weight""]).fit()",,,"df[""weight""]",,0.0022866798435147587,0.0027068617289984025,356253,success
run_20260203T030138Z_80cc5a,2026-02-03T03:01:38Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year in [2013, 2014, 2015, 2016] | hispan == 1 and hispand in {100, 102, 103, 104, 105, 106, 107} | bpl == 200 (Mexico) | citizen in {3, 4, 5} (non-citizens without lawful residency)",full_time = (uhrswork >= 35),eligible_daca = (age_2012 <= 30) & (yrimmig <= 2007) & (birthyr >= 1982) & (age_2012 >= 0),Logit,"logit_result = smf.logit(""full_time ~ eligible_daca + age + I(age**2)"", data=df).fit(disp=False)",age | I(age**2),,,,0.3321855781628279,0.015403988685871011,241791,success
run_20260319T094516Z_6537af,2026-03-19T09:45:16Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year between 2013 and 2016 | Mexican-born (bpl == 200) with Hispanic detailed origin codes 100-107 | non-citizens (citizen codes 3 or 4) with positive person weight,int(uhrswork >= 35),int((birthyr > 1981 or (birthyr == 1981 and birthqtr >= 3)) and (yrimmig - birthyr < 16) and yrimmig <= 2007),WLS,"beta, se = weighted_ols(np.column_stack([np.ones(len(df)), df['daca_eligible']]), df['full_time'], df['perwt'])",,,perwt,,-0.10674133401417563,0.0026061631264647457,241791,success
run_20260319T101243Z_968efe,2026-03-19T10:12:43Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year between 2013 and 2016 | hispan == 1 | bpl == 200 | birthyr between 1982 and 1996 | age between 18 and 35 | yrimmig > 0 | perwt > 0,(empstat == 1) & (uhrswork >= 35),(yrimmig <= 2007) & ((yrimmig - birthyr) >= 0) & ((yrimmig - birthyr) < 16),WLS,"model_result = smf.wls(""full_time ~ daca_eligible + C(year) + C(statefip)"", data=df, weights=df[""perwt""]).fit(cov_type=""HC1"")",,C(year) | C(statefip),"df[""perwt""]",HC1,-0.02456629154884666,0.004331571724612539,79502,success
run_20260319T110247Z_28e112,2026-03-19T11:02:47Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2013 and 2016 | hispan == 1 (Mexican origin) | bpl == 200 (Mexico birthplace) | citizen in (0,1) to keep noncitizens | birthyr between 1982 and 1997 | yrimmig <= 2007 | perwt > 0",full_time = (empstat == 1) & (uhrswork >= 35),treatment = (immigration_age <= 15),WLS,"model = sm.WLS(full_time.astype(float), sm.add_constant(treatment.astype(float)), weights=perwt)
result = model.fit(cov_type=""HC3"")",,,perwt,HC3,-0.12916459744431352,0.040998318740506266,1955,success
run_20260319T112925Z_695eb3,2026-03-19T11:29:25Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year >= 2013 and year <= 2016 | hispan == 1 | bpl == 200 | citizen == 3 | perwt > 0 | yrimmig > 0 | uhrswork between 1 and 98,((labforce == 2) & (uhrswork >= 35)).astype(int),(((yrimmig - birthyr) >= 0) & ((yrimmig - birthyr) <= 15) & (yrimmig <= 2007) & ((2012 - birthyr) <= 30)).astype(int),WLS,"model = smf.wls(""fulltime ~ eligible + C(year) + C(statefip)"", data=df, weights=df[""perwt""])",,C(year) | C(statefip),"df[""perwt""]",,-0.08512117554121153,0.0037532091062705618,155543,success
run_20260319T224107Z_88b810,2026-03-19T22:41:07Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2013 and 2016 | hispand in {100, 102, 103, 104, 105, 106, 107} and bpl == 200 (Mexican origin) | citizen == 3 (noncitizen), yrimmig between 1900 and 2007, and perwt > 0 | age between 18 and 40 and valid birthqtr (1-4)",full_time = ((uhrswork >= 35) & (uhrswork <= 98)).astype(int),eligible = ((yrimmig - birthyr) < 16) & ((birthyr > 1981) | ((birthyr == 1981) & (birthqtr >= 3))) & (yrimmig <= 2007),WLS,"model = smf.wls(""full_time ~ eligible + age + male + C(year) + C(statefip)"", data=df, weights=df[""perwt""]).fit()",age | male,C(year) | C(statefip),"df[""perwt""]",,0.045039291310033036,0.004288907558738599,99398,success
run_20260319T231341Z_bf875a,2026-03-19T23:13:41Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2013 and 2016 inclusive | hispan == 1 (Mexican Hispanic) and bpl == 200 (Mexico-born) | citizen == 2 (noncitizens only) with perwt > 0, reported yrimmig and birthyr, and 18 <= age <= 34 | yrimmig <= 2007 so that those eligible lived continuously in the United States since 2007","full_time = (empstat in [1, 2]) and uhrswork >= 35","eligible = birthyr between 1982 and 1996, yrimmig <= birthyr + 15, and yrimmig <= 2007",WLS,"wls_result = sm.WLS(df['full_time'], predictors, weights=df['perwt']).fit(cov_type='HC1')",,,df['perwt'],HC1,-0.02777314706074057,0.010619502578372979,15327,success
run_20260319T234112Z_0859e2,2026-03-19T23:41:12Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"ACS survey years 2013 through 2016 to focus on the post-DACA rollout | Hispanic-Mexican detailed origins (hispan == 1, hispand in {100, 102, 103, 104, 105, 106, 107}) and born in Mexico (bpl == 200) | Noncitizen respondents (citizen == 3) aged 18 to 34 to capture the target labor-market cohort",(empstat == 1) & (uhrswork >= 35),(yrimmig <= 2007) & (birthyr >= 1982) & ((yrimmig - birthyr) >= 0) & ((yrimmig - birthyr) <= 15),WLS,"res = smf.wls('full_time ~ treatment + age + C(sex) + C(year) + C(statefip)', data=analysis_df, weights=analysis_df['perwt']).fit(cov_type='HC1')",age,C(sex) | C(year) | C(statefip),analysis_df['perwt'],HC1,0.02814521057418649,0.004503389985538969,75486,success
run_20260320T002152Z_8c4c35,2026-03-20T00:21:52Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"ACS year between 2013 and 2016 (inclusive) | hispand == 100 and bpl == 200 to focus on ethnically Mexican, Mexican-born respondents | citizen == 3 and 1900 <= yrimmig <= 2007 so the sample is noncitizen and arrived by the DACA residency cutoff | age between 17 and 40 to capture cohorts that could plausibly be eligible or just missed eligibility",full_time = (uhrswork >= 35),treatment = ((age - (year - yrimmig) <= 15) & (birthyr >= 1982)) so the person arrived before age 16 and was under 31 in 2012,WLS,"model = sm.WLS(df['full_time'], X, weights=df['perwt']).fit(cov_type='HC1')",,,df['perwt'],HC1,0.050660466850391786,0.005991650369041667,100723,success
run_20260320T021512Z_7ad2a9,2026-03-20T02:15:12Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"Year between 2013 and 2016 inclusive | Hispanic origin detailed codes 100-107, birthplace code 200 (Mexico), and noncitizen indicator (citizen == 3) | Year-of-immigration between 1980 and 2012, birth year between 1978 and 1997, and immigration year no earlier than birth year","full_time = (uhrswork.where(uhrswork < 98, 0).fillna(0) >= 35)",treatment = (birthyr >= 1982) & (yrimmig <= 2007) & ((yrimmig - birthyr) <= 15),OLS,"model = smf.ols('full_time ~ treatment + C(year) + C(statefip)', data=analysis_df).fit(cov_type='cluster', cov_kwds={'groups': analysis_df['statefip']})",,C(year) | C(statefip),,cluster; {'groups': analysis_df['statefip']},-0.05296913144500258,0.007340873828313034,87834,success
run_20260320T023623Z_274681,2026-03-20T02:36:23Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year >= 2013 and year <= 2016 | hispan == 1 and bpl == 200 | citizen == 3 and yrimmig > 0 | age >= 18 and age <= 34,(empstat == 1) & (uhrswork >= 35),(yrimmig <= 2007) & (birthyr >= 1982) & (birthyr <= 1996) & ((yrimmig - birthyr) >= 0) & ((yrimmig - birthyr) <= 15),OLS,"model = sm.OLS(y, X).fit()",,,,,0.009776374747844487,0.003996786406525957,75486,success
run_20260320T024912Z_6ec62b,2026-03-20T02:49:12Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,2013 <= year <= 2016 | hispan == 1 and bpl == 200 and yrimmig > 0 | 1900 <= birthyr <= 2005 and 1900 <= yrimmig <= 2016 and 0 <= yrimmig - birthyr and 0 <= uhrswork <= 80,full_time = (uhrswork >= 35).astype(int),eligible = ((1982 <= birthyr <= 1996) and yrimmig <= 2007 and (yrimmig - birthyr) <= 15).astype(int),OLS,"model = smf.ols(""full_time ~ eligible + C(year)"", data=df).fit()",,C(year),,,0.050354034151425676,0.002571416654872333,350637,success
run_20260320T031327Z_6476b7,2026-03-20T03:13:27Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2013 and 2016 | age between 18 and 39 | birthplace Mexico (bpl == 200) and Hispanic-Mexican origin (hispand in {100, 102, 103, 104, 105, 106, 107}) | noncitizen (citizen == 3) immigrants with positive yrimmig and arrival_age between 0 and 60",full_time = (uhrswork >= 35) after restricting to uhrswork >= 0,daca_eligible = (birthyr between 1982 and 1996) & (yrimmig between 1900 and 2007) & (arrival_age between 0 and 15),OLS,"result = smf.ols(""full_time ~ daca_eligible + age + age_sq + C(year)"", data=df).fit()",age | age_sq,C(year),,,0.027553912086992587,0.003943048781345574,108592,success
run_20260320T043225Z_74a01b,2026-03-20T04:32:25Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year >= 2013 and year <= 2016 | age between 18 and 34 inclusive | hispan == 1 and bpl == 200 (Mexican born) and perwt > 0 | yrimmig > 0 and imm_age >= 0 (valid immigration info),(empstat == 1) and (uhrswork >= 35),"(citizen in [3, 4, 5]) and (birthyr >= 1982) and (yrimmig <= 2007) and ((yrimmig - birthyr) <= 15)",WLS,"model = sm.WLS(df[""full_time""], regressor, weights=df[""perwt""])",,,"df[""perwt""]",,0.006775483466352073,0.003689333136057906,92368,success
run_20260320T044737Z_0b458a,2026-03-20T04:47:37Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2013 and 2016 | hispan == 1 | bpl == 200 (Mexico) | citizen in {2,3} | yrimmig > 0 and yrimmig <= 2007 and yrimmig <= birthyr + 15 | perwt > 0 | age between 16 and 64 | birthyr between 1972 and 2002",full_time = ((empstat == 1) & (uhrswork >= 35)).astype(int),"DACA_eligible = birthyr.between(1982, 1997).astype(int)",WLS,"result = smf.wls(""full_time ~ DACA_eligible + C(year) + C(statefip)"", data=df, weights=df[""perwt""]).fit(cov_type=""HC1"")",,C(year) | C(statefip),"df[""perwt""]",HC1,-0.05751667079097357,0.004952903793741886,67758,success
run_20260320T055133Z_552410,2026-03-20T05:51:33Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year.isin([2013, 2014, 2015, 2016]) | hispan == 1 and bpl == 200 and citizen == 2 | yrimmig <= birthyr + 15 and yrimmig <= 2007 | (birthyr > 1981) or (birthyr == 1981 and birthqtr >= 3)","full_time = empstat in [1, 2] and uhrswork >= 35",daca_eligible = (birthyr > 1981 or (birthyr == 1981 and birthqtr >= 3)) and (yrimmig <= birthyr + 15) and (yrimmig <= 2007) and (citizen == 2),WLS,"result = smf.wls('full_time ~ daca_eligible + UNEMP + LFPR + C(year) + C(statefip)', data=df, weights=df['perwt']).fit().get_robustcov_results(cov_type='HC1')",UNEMP | LFPR,C(year) | C(statefip),df['perwt'],HC1,0.005961114669449563,0.006036910025445725,105963,success
run_20260320T071857Z_eb0a43,2026-03-20T07:18:57Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,year >= 2013 and year <= 2016 | hispan == 1 and bpl == 200 | age >= 18 and age <= 35 | citizen == 3 | perwt > 0,((empstat == 1) & (uhrswork >= 35)).astype(float),"((yrimmig - birthyr) >= 0) & ((yrimmig - birthyr) <= 15) & (yrimmig <= 2007) & (((birthyr > 1981) | ((birthyr == 1981) & (birthqtr >= 3))) & birthqtr.isin({1,2,3,4}))",WLS,"model = smf.wls('full_time ~ daca_elig + age + C(year)', data=df, weights=df['perwt']).fit(cov_type='HC1')",age,C(year),df['perwt'],HC1,0.009556834383506088,0.004910502989236814,81765,success
run_20260320T073431Z_676a50,2026-03-20T07:34:31Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,no_results
run_20260320T135333Z_058dc5,2026-03-20T13:53:33Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,failed_validation
run_20260320T135459Z_5ba658,2026-03-20T13:54:59Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,failed_validation
run_20260320T135623Z_dfb0ec,2026-03-20T13:56:23Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,failed_validation
run_20260320T135748Z_5116f0,2026-03-20T13:57:48Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,failed_validation
run_20260320T135910Z_af3044,2026-03-20T13:59:10Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,failed_validation
run_20260320T140045Z_3a99b9,2026-03-20T14:00:45Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,failed_validation
run_20260320T140210Z_c9166c,2026-03-20T14:02:10Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,failed_validation
run_20260320T140335Z_c0f8f6,2026-03-20T14:03:35Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,failed_validation
run_20260320T140511Z_e59202,2026-03-20T14:05:11Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,failed_validation
run_20260320T140647Z_3327c2,2026-03-20T14:06:47Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,missing_spec,,,,,,,,,,,,,no_results
run_20260320T141204Z_91d2f5,2026-03-20T14:12:04Z,,nonexistent,nonexistent,,,missing_spec,,,,,,,,,,,,,failed_validation
run_20260320T150151Z_99c151,2026-03-20T15:01:51Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year between 2013 and 2016 inclusive | hispand == 100 (Mexican origin) and bpl == 200 (born in Mexico) | age between 17 and 35 | non-missing usual hours, birth year, and year of immigration",full_time = (uhrswork >= 35),treatment = (birthyr >= 1982) & (yrimmig <= birthyr + 15) & (yrimmig <= 2007),OLS,"result = sm.OLS(df['full_time'], sm.add_constant(df[['treatment']])).fit(cov_type='HC1')",,,,HC1,-0.08337660278033737,0.0030646450249394203,76169,success
run_20260320T151404Z_8f0044,2026-03-20T15:14:04Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year in 2013-2016 | positive person weight (perwt > 0) | Hispanic Mexican-born noncitizens (hispan == 1, bpl == 200, citizen == 2) | age 18-40 with birth year > 1900 | immigrant year between birth year and survey year in 2013-2016, usual hours worked between 0 and 96",full_time = (uhrswork >= 35).astype(int),"DACA_eligible = ((2012 - birthyr).between(15, 30) & (yrimmig - birthyr).between(0, 15) & (yrimmig <= 2007)).astype(int)",WLS,"model = smf.wls(formula, data=sample, weights=sample[""perwt""])",,,"sample[""perwt""]",,0.08370351636745837,0.01051748314105098,25106,success
run_20260320T155739Z_5efe4c,2026-03-20T15:57:39Z,,gpt-5.1-codex-mini,gpt-5.1-codex-mini,,,available,"year.between(2013, 2016) | hispan == 1 | bpl == 200 | citizen == 3 | age.between(18, 40) | perwt > 0 | yrimmig >= 1900 | yrimmig <= year | birthyr >= 1970 | birthyr <= 2005 | arrival_age >= 0 | arrival_age <= 40",full_time = (uhrswork >= 35).astype(int),daca_eligible = ((arrival_age <= 15) & (birthyr >= 1982) & (yrimmig <= 2007)).astype(int),WLS,"model = sm.WLS(y, sm.add_constant(sample['daca_eligible'], has_constant='add'), weights=sample['perwt'])",,,sample['perwt'],,-0.044176670549392366,0.003952815513724605,116145,success
